index,r,l,t
0,-357.672344,779,184.43511390686035
1,-358.526689,289,253.0354781150818
2,-329.751651,349,326.0547330379486
3,-146.917265,203,364.8385019302368
4,-497.74839,397,451.9825870990753
5,-405.374331,342,540.6102828979492
6,-105.771956,50,554.0810449123383
7,-152.745968,113,580.6730539798737
8,-69.443517,22,588.9988749027252
9,-61.748822,14,597.2711009979248
10,-607.596662,707,754.4787929058075
11,-549.875005,603,886.5616528987885
12,-59.607948,16,896.8630890846252
13,-991.270353,1209,1170.4889318943024
14,-317.785587,480,1274.5201840400696
15,-64.905773,15,1298.4128470420837
16,-1198.42714,1639,1676.8662741184235
17,-100.074923,54,1692.7013449668884
18,-238.876387,166,1725.5576899051666
19,-60.288249,18,1760.0628979206085
20,-585.352753,929,1971.8954238891602
21,-1448.351782,1238,2249.45876288414
22,-73.43504,38,2267.1784279346466
23,-58.907255,6,2287.3681070804596
24,-75.560221,26,2300.9658370018005
25,-198.737018,121,2332.161241054535
26,-57.787342,8,2340.3332889080048
27,-66.390061,13,2348.5750119686127
28,-58.176204,9,2356.7271699905396
29,-366.330046,533,2484.1603310108185
30,-2709.392477,2001,2913.196774959564
31,-361.51676,2001,3319.7153630256653
32,-1726.785613,2001,3758.7868039608
33,-370.893538,2001,4187.564213037491
34,-266.940656,203,4230.571614027023
35,-863.54729,2001,4665.00629401207
36,-594.912344,2001,5112.894264936447
37,-1003.132596,2001,5525.380040884018
38,-309.150284,2001,5950.835237026215
39,-391.681627,2001,6380.925523996353
40,-1113.421338,2001,6784.254436016083
41,-1290.39614,2001,7209.389718055725
42,-524.19334,1038,7439.80060505867
43,-1340.070869,2001,7857.503839015961
44,-602.085527,2001,8252.033071994781
45,-314.244451,2001,8649.949167966843
46,-1292.745909,2001,9025.98293709755
47,-559.516969,2001,9441.611792087555
48,-2104.293707,2001,9912.507864952087
49,-256.06293,2001,10340.551064014435
50,-398.782736,2001,10727.646682024002
51,-473.77681,2001,11165.419514894485
52,-933.936257,2001,11609.32467007637
53,-1333.341035,2001,12004.83961892128
54,-373.299599,2001,12398.171277999878
55,-80.212154,55,12416.203399896622
56,-59.615914,14,12439.530251979828
57,-69.150917,15,12449.867815971375
58,-70.752839,21,12475.373471975327
59,-67.433231,14,12485.609452962875
60,-55.459409,8,12493.773571968079
61,-57.963551,8,12501.93365907669
62,-53.156751,8,12510.094698905945
63,-61.447892,9,12518.28688788414
64,-73.179475,24,12527.141988039017
65,-53.480624,8,12535.301374912262
66,-64.771059,16,12543.522242069244
67,-56.473665,11,12551.692713975906
68,-57.250524,8,12559.855735063553
69,-57.828712,9,12568.015944957733
70,-70.084833,14,12576.2317340374
71,-55.585685,8,12584.374300956726
72,-57.497249,13,12592.634093046188
73,-54.582705,9,12600.785953044891
74,-56.941838,9,12609.824786901474
75,-55.455241,8,12617.993400096893
76,-54.810089,9,12626.181107997894
77,-52.78022,8,12634.327925920486
78,-59.122526,9,12642.503994941711
79,-84.579782,43,12652.038208007812
80,-159.297531,87,12680.608582019806
81,-76.656913,24,12693.070993900299
82,-59.305174,8,12701.294790029526
83,-301.650727,296,12758.06841301918
84,-51.57129,8,12766.223176002502
85,-55.711696,8,12774.39314198494
86,-55.71459,8,12782.578418016434
87,-58.708238,9,12790.742593050003
88,-73.511567,16,12799.014256000519
89,-54.892951,10,12807.195955991745
90,-55.595095,8,12815.363069057465
91,-57.144749,11,12823.552177906036
92,-56.836414,9,12831.726777076721
93,-53.493461,8,12839.906596899033
94,-58.943912,8,12848.054995059967
95,-54.862833,14,12856.272937059402
96,-55.907035,8,12864.420823097229
97,-56.832274,9,12872.589010953903
98,-57.087051,8,12880.733545064926
99,-57.045439,8,12888.884593009949
100,-63.036551,14,12897.117575883865
101,-53.317602,8,12905.28490805626
102,-57.636346,9,12913.471117019653
103,-62.576439,11,12921.651338100433
104,-52.865939,9,12929.839234113693
105,-55.035018,8,12938.027259111404
106,-59.128856,9,12946.215841054916
107,-62.564309,14,12955.19174194336
108,-57.472357,8,12963.370610952377
109,-58.013254,8,12971.526890993118
110,-65.71253,19,12979.822179079056
111,-55.077882,9,12988.001127958298
112,-59.534926,8,12996.166095018387
113,-59.305685,8,13004.336211919785
114,-64.506039,14,13012.569839000702
115,-54.165748,8,13020.771967887878
116,-55.26403,8,13028.945952892303
117,-58.672218,9,13037.156470060349
118,-56.259166,8,13045.409110069275
119,-65.866575,23,13053.719616889954
120,-58.913002,8,13061.891940116882
121,-54.874138,9,13070.086817979813
122,-54.881558,8,13078.260416030884
123,-58.315494,9,13086.440347909927
124,-54.761286,11,13094.6479139328
125,-57.064986,9,13102.864847898483
126,-59.87915,9,13111.925837039948
127,-54.408979,8,13120.06627202034
128,-56.126985,9,13128.22334098816
129,-58.850824,8,13136.37072300911
130,99.506211,1,13142.430464982986
131,-59.49319,7,13145.54942893982
132,-59.985337,8,13153.723812103271
133,-60.782186,8,13161.899751901627
134,-59.150236,9,13170.090662002563
135,-57.228614,8,13178.278911113739
136,-58.43999,9,13186.485052108765
137,-59.053476,8,13194.66205406189
138,-61.088025,9,13202.827960968018
139,-57.054489,8,13211.010751008987
140,-74.047484,24,13220.396961927414
141,-58.447502,9,13228.580034017563
142,-61.464429,8,13236.76433801651
143,-58.999382,6,13244.743108034134
144,-57.505403,8,13252.945949077606
145,-54.057191,8,13261.095634937286
146,-61.637052,8,13269.25681591034
147,-61.47151,9,13277.418850898743
148,-59.521273,8,13285.587964057922
149,-56.813345,9,13293.761953115463
150,-55.175973,8,13301.90273809433
151,-65.643606,9,13310.112703084946
152,-59.933376,8,13318.269329071045
153,-77.76096,24,13326.61225104332
154,-58.774124,8,13334.781187057495
155,-52.722564,8,13343.000863075256
156,-62.859699,17,13352.309171915054
157,-55.224795,9,13360.490716934204
158,-52.868414,8,13368.632946968079
159,-53.193744,8,13376.802972078323
160,-63.157713,23,13385.15888094902
161,-69.175091,19,13393.491300106049
162,-58.240478,8,13401.670959949493
163,-62.091569,15,13409.940550088882
164,-52.360478,8,13418.132709026337
165,-56.375108,8,13426.309525966644
166,-58.729499,14,13434.554585933685
167,-80.063134,24,13445.955663919449
168,-351.222317,502,13598.603991031647
169,-63.324425,8,13606.796049118042
170,-62.398417,15,13615.067466020584
171,-52.469017,8,13623.251064062119
172,-64.267304,15,13631.526701927185
173,-58.860776,12,13640.535382032394
174,-59.883604,8,13648.677587985992
175,-55.999446,9,13656.841428041458
176,-61.684997,16,13665.084254026413
177,-54.564582,8,13673.259684085846
178,-56.66216,8,13681.409002065659
179,-52.831846,8,13689.589467048645
180,-53.04047,8,13697.791908025742
181,-54.690627,9,13705.961134910583
182,-63.759545,17,13714.230168104172
183,-54.221014,8,13722.40693807602
184,-52.714391,9,13730.617338895798
185,-58.549733,8,13738.794773101807
186,-53.409724,9,13747.05311203003
187,-57.128944,8,13755.233742952347
188,-54.95393,8,13763.40408205986
189,-77.107948,20,13771.698817014694
190,-58.782969,21,13779.963833093643
191,-55.275207,11,13788.15546798706
192,-53.412419,12,13796.998384952545
193,-57.446503,12,13805.186090946198
194,-54.406007,8,13813.336246013641
195,-53.57502,8,13821.489479064941
196,-64.340636,19,13829.800663948059
197,-56.969204,12,13838.99358701706
