index,r,l,t
0,-550.505179,470,243.94646000862122
1,-252.128176,105,298.25870299339294
2,-127.884315,17,320.6856110095978
3,-108.02234,9,338.9155240058899
4,-151.284679,39,372.8528459072113
5,-2133.367172,684,718.3954019546509
6,-1307.539107,533,984.3400869369507
7,-302.267535,121,1051.795007944107
8,-111.525349,11,1062.0210440158844
9,-3564.504779,1007,1581.448124885559
10,-6999.79881,1853,2348.3905289173126
11,-153.635203,43,2364.085124015808
12,-797.720856,362,2565.464215993881
13,-236.329112,95,2614.4397439956665
14,-1195.242262,495,2876.5594260692596
15,-126.390067,21,2891.9886560440063
16,-125.041603,54,2920.9408628940582
17,-2982.985248,701,3274.279086112976
18,-2740.923603,1116,3853.1975989341736
19,-110.130536,5,3860.316097021103
20,-2670.323905,837,4300.452662944794
21,-597.618843,305,4472.760188102722
22,-156.223386,45,4500.6745018959045
23,-3166.765648,1208,5134.441169023514
24,-1090.593193,549,5417.543354034424
25,-114.572172,15,5429.872904062271
26,114.19933,50,5459.883387088776
27,-3780.481954,1129,6008.184246063232
28,-6401.58822,2269,7158.267501115799
29,-267.212052,115,7222.627460002899
30,-9117.598249,4001,9251.256860017776
31,-7784.734853,2995,10748.524600028992
32,-603.404177,313,10916.075637102127
33,-118.164047,13,10927.34192109108
34,-8894.396937,4001,12988.845076084137
35,-4337.934957,1435,13697.949275970459
36,-713.734601,343,13880.889298915863
37,-390.524112,325,14054.513533115387
38,-1165.736159,345,14238.649025917053
39,-180.844345,85,14295.28720498085
40,-2073.401618,1570,14986.682621002197
41,-191.592141,67,15026.034315109253
42,-347.757868,287,15179.964801073074
43,-135.518337,27,15198.582566976547
44,-118.161871,23,15215.038353919983
45,-451.603444,187,15316.88895201683
46,-110.663879,5,15323.99026298523
47,-269.225211,111,15386.16020989418
48,-130.100149,15,15397.463223934174
49,-112.834832,11,15416.708703994751
50,-117.781978,9,15424.8583381176
51,-115.366561,17,15438.202434062958
52,-781.452168,330,15599.608020067215
53,-118.351093,13,15619.890081882477
54,-113.591769,7,15643.08067393303
55,-108.790742,7,15666.30529499054
56,-145.149163,33,15688.01676607132
57,-108.697426,5,15695.127367019653
58,-170.118094,97,15750.069658041
59,-105.14243,5,15766.196760892868
60,-122.076723,33,15787.88540506363
61,-129.124679,15,15809.23659491539
62,-128.510909,29,15837.848042964935
63,-148.479666,71,15888.339932918549
64,-101.208744,1,15903.419543981552
65,-118.772197,16,15916.765896081924
66,-108.314748,5,15932.926887989044
67,-111.892889,7,15941.080532073975
68,-109.902863,9,15949.251334905624
69,-109.324097,9,15957.427887916565
70,-107.673357,5,15964.549046039581
71,-627.651324,269,16109.02452993393
72,-122.975821,19,16123.397917985916
73,-112.868498,7,16131.55852508545
74,-113.175915,17,16153.95781302452
75,-116.830288,17,16176.361371994019
76,-108.042123,5,16183.473359107971
77,-103.824312,5,16190.581247091293
78,-117.90871,17,16202.92321896553
79,-103.959028,5,16210.043294906616
80,-117.031699,9,16228.264159917831
81,-122.114146,11,16238.487437963486
82,-117.660801,11,16257.734663009644
83,-371.16859,171,16350.244821071625
84,148.34022,1,16365.32889509201
85,-108.221928,5,16367.425781965256
86,-109.844021,7,16375.576168060303
87,-111.930621,9,16384.759062051773
88,-105.676895,7,16401.911957979202
89,-106.287941,5,16409.02330994606
90,-102.859195,5,16416.12508893013
91,-105.805063,7,16424.28980898857
92,-111.978821,11,16443.550283908844
93,-110.037198,7,16459.72182393074
94,-116.34059,13,16486.02604699135
95,-108.947269,5,16502.177628040314
96,-109.300892,9,16511.370193004608
97,-117.047615,9,16529.58226299286
98,-102.367937,1,16544.668998003006
99,-117.142086,14,16556.926816940308
100,-133.27584,21,16581.418026924133
101,-125.971502,25,16598.930730104446
102,-118.522941,9,16617.179822921753
103,-115.40876,9,16634.37580895424
104,-107.15644,3,16641.445775985718
105,-841.463887,330,16818.232256889343
106,-111.933948,7,16841.436752080917
