,timesteps,heading_error,change_distance,linear_velocity,angular_speed,path_deviation,closest_obstacle,reward
0,1,2.149020366901447,0.0,-0.73,0.72,1.7480494649561023,4.007509231567383,-2.643939564332803
1,2,2.202542221703964,0.0,-0.72,0.72,1.9380190116825917,4.007509231567383,-2.8218761291152528
2,3,2.05964905249592,-1.0966563897432282,-0.72,0.72,0.874335863667475,3.992982864379883,-1.3234475203295317
3,4,1.7214423741376088,0.032978492236483525,-0.7,0.7,0.6818575303554006,3.992982864379883,-1.591402191719803
4,5,1.7214423741376088,0.0,-0.7,0.7,0.6818575303554006,3.525740385055542,-1.5710861922448447
5,6,0.7320488339621498,0.3154723443509315,-0.72,0.72,0.3080609088711051,3.525740385055542,-0.9411987232267529
6,7,0.7320488339621498,0.0,-0.72,0.72,0.3080609088711051,3.152405023574829,-0.7820629529951564
7,8,0.08859543538118375,0.5175155120915207,-0.76,0.76,0.26994538484657093,3.152405023574829,-0.6813174230956679
8,9,0.08859543538118375,0.0,-0.76,0.76,0.26994538484657093,2.323277473449707,-0.4392654905360015
9,10,0.7172845856696992,0.6298515731132364,-0.75,0.75,0.8965130826510199,2.323277473449707,-1.5160231001179403
10,11,0.7172845856696992,0.0,-0.75,0.75,0.8965130826510199,1.9545047283172607,-1.2525088099110797
11,12,1.2379772319888493,0.26963599370461644,-0.7,0.7,1.587352272292209,1.9545047283172607,-2.1696286655118247
12,13,1.2379772319888493,0.0,-0.7,0.7,1.587352272292209,2.337364435195923,-2.0537494147199116
13,14,1.8427295786965479,-0.30263360331137346,-0.71,0.71,1.8974761246165994,2.337364435195923,-2.4816900077310393
14,15,1.8427295786965479,0.0,-0.71,0.71,1.8974761246165994,3.141122817993164,-2.606580083946012
15,16,2.2730198663456402,-0.4636039819116746,-0.75,0.75,1.9264470891596694,3.141122817993164,-2.6534736018161595
16,17,2.2730198663456402,0.0,-0.75,0.75,1.9264470891596694,3.797473669052124,-2.85432365545597
17,18,2.804011058378083,-0.6924718880835208,-0.74,0.74,1.4409452154507187,3.797473669052124,-2.3857669374785346
18,19,2.804011058378083,0.0,-0.74,0.74,1.4409452154507187,3.9919650554656982,-2.729062338492292
19,20,1.6062411839488584,-0.21396804769122912,-0.75,0.75,0.6661762648843039,3.9919650554656982,-1.403792929987912
20,21,1.6062411839488584,0.0,-0.75,0.75,0.6661762648843039,3.410728693008423,-1.5127176548372865
21,22,0.6262552788358571,0.31099301939293866,-0.72,0.72,0.2709821435569472,3.410728693008423,-0.8565889555782975
22,23,0.6262552788358571,0.0,-0.72,0.72,0.2709821435569472,2.912768840789795,-0.6995031631806837
23,24,0.283115231133503,0.6569682318228036,-0.72,0.72,0.42561143519413197,2.912768840789795,-0.9424122740596548
24,25,0.283115231133503,0.0,-0.72,0.72,0.42561143519413197,2.1501941680908203,-0.6516365726392546
25,26,0.9477608356538649,0.5704740534422283,-0.72,0.72,1.1478520926406983,2.1501941680908203,-1.7946438631463923
26,27,0.9477608356538649,0.0,-0.72,0.72,1.1478520926406983,1.9906830787658691,-1.5617519008566885
27,28,1.3328124456448753,0.08478156702520856,-0.72,0.72,1.6221106750840883,1.9906830787658691,-2.167901278173242
28,29,1.3328124456448753,0.0,-0.72,0.72,1.6221106750840883,2.5394465923309326,-2.133684571806906
29,30,1.9887205378846406,-0.3933354047062263,-0.74,0.73,1.8502322210387807,2.5394465923309326,-2.482432474149313
30,31,1.9887205378846406,0.0,-0.74,0.73,1.8502322210387807,3.368135929107666,-2.6478912687032814
31,32,2.6264505169888483,-0.6485375912807072,-0.71,0.71,1.770222270114931,3.368135929107666,-2.5959408427377
